event_date,event_type,industry_code,real_dir,final_dir,prob_up,abstain,dir_correct,committed_dir_correct
2020-01-01,monetary_policy,801780,-,-,0.42683381013111044,False,True,True
2020-01-01,monetary_policy,801790,-,0,0.5224875647891079,True,False,False
2020-01-01,monetary_policy,801180,-,-,0.4161036117243768,False,True,True
2020-02-03,monetary_policy,801780,-,-,0.35666057105647786,False,True,True
2020-02-03,monetary_policy,801790,-,-,0.4254580307768922,False,True,True
2020-02-03,monetary_policy,801180,-,-,0.3552522864668253,False,True,True
2020-02-17,monetary_policy,801780,-,-,0.3000024616821203,False,True,True
2020-02-17,monetary_policy,801790,+,-,0.36662748909102916,False,False,False
2020-02-17,monetary_policy,801180,-,-,0.27455753509329117,False,True,True
2020-02-20,monetary_policy,801780,-,-,0.3956341418816217,False,True,True
2020-02-20,monetary_policy,801790,+,0,0.46375550943570154,True,False,False
2020-02-20,monetary_policy,801180,-,-,0.3739063802083467,False,True,True
2020-03-13,monetary_policy,801780,+,-,0.24702679194771324,False,False,False
2020-03-13,monetary_policy,801790,-,-,0.2978974091129904,False,True,True
2020-03-13,monetary_policy,801180,-,-,0.25001999263470304,False,True,True
2020-03-30,monetary_policy,801780,-,0,0.5169098894682925,True,False,False
2020-03-30,monetary_policy,801790,-,0,0.6029774298236692,True,False,False
2020-03-30,monetary_policy,801180,-,0,0.5245534180163575,True,False,False
2020-04-03,monetary_policy,801780,-,0,0.42903362721824556,True,False,False
2020-04-03,monetary_policy,801790,-,0,0.5299299129135148,True,False,False
2020-04-03,monetary_policy,801180,-,0,0.42688973585601175,True,False,False
2020-04-15,monetary_policy,801780,-,-,0.30757072442538635,False,True,True
2020-04-15,monetary_policy,801790,-,-,0.3602325413003891,False,True,True
2020-04-15,monetary_policy,801180,-,-,0.30695006866067587,False,True,True
2020-04-20,monetary_policy,801780,+,-,0.23877315799096294,False,False,False
2020-04-20,monetary_policy,801790,-,-,0.29127599615657945,False,True,True
2020-04-20,monetary_policy,801180,-,-,0.23114400006222413,False,True,True
2020-04-20,monetary_policy,801710,+,-,0.24777454555066647,False,False,False
2020-06-12,capital_market_policy,801790,-,-,0.33479260831743096,False,True,True
2020-06-12,capital_market_policy,801780,-,-,0.27973219095456886,False,True,True
2020-06-12,capital_market_policy,801750,-,-,0.3380086019066205,False,True,True
2020-08-04,industry_policy,801080,-,0,0.44339853313534305,True,False,False
2020-08-04,industry_policy,801750,-,0,0.4401703659096517,True,False,False
2020-08-04,industry_policy,801770,-,-,0.4352536340588822,False,True,True
2020-08-17,geopolitical,801080,+,-,0.30957980719330574,False,False,False
2020-08-17,geopolitical,801880,-,-,0.34052747639627945,False,True,True
2020-08-17,geopolitical,801110,-,-,0.3307908283987727,False,True,True
2020-08-17,geopolitical,801890,+,-,0.3314540132419881,False,False,False
2020-08-17,geopolitical,801750,-,-,0.30080170904385,False,True,True
2020-08-17,geopolitical,801770,-,-,0.30168480257628766,False,True,True
2020-09-22,industry_policy,801730,+,0,0.5515177896882728,True,False,False
2020-09-22,industry_policy,801160,-,0,0.5107265203331525,True,False,False
2020-09-22,industry_policy,801050,-,0,0.5389179397681348,True,False,False
2020-09-22,industry_policy,801770,-,0,0.5324112432236722,True,False,False
2020-11-05,industry_policy,801150,-,0,0.5233395708318626,True,False,False
2020-11-10,industry_policy,801760,-,0,0.5105582346160886,True,False,False
2020-11-10,industry_policy,801750,-,0,0.5308815098356264,True,False,False
2020-12-18,geopolitical,801080,+,0,0.5001225914514549,True,False,False
2020-12-18,geopolitical,801880,+,0,0.5149713522357401,True,False,False
2020-12-18,geopolitical,801110,+,+,0.5217020384567468,False,True,True
2020-12-18,geopolitical,801890,+,0,0.5106625038762703,True,False,False
2020-12-18,geopolitical,801750,-,0,0.4911746633807676,True,False,False
2020-12-18,geopolitical,801770,-,0,0.49062608221261045,True,False,False
2020-12-31,capital_market_policy,801790,-,0,0.52810722666445,True,False,False
2020-12-31,capital_market_policy,801780,-,0,0.4990569869982794,True,False,False
2020-12-31,capital_market_policy,801750,-,0,0.5271488272977991,True,False,False
2021-02-07,industry_policy,801760,+,+,0.507656231398979,False,True,True
2021-02-07,industry_policy,801750,+,+,0.5231915974943041,False,True,True
2021-04-10,industry_policy,801760,+,0,0.4870114195962336,True,False,False
2021-04-10,industry_policy,801750,+,0,0.5106102160087693,True,False,False
2021-06-23,industry_policy,801150,-,-,0.4463583750392448,False,True,True
2021-07-09,monetary_policy,801780,-,0,0.4250313322051096,True,False,False
2021-07-09,monetary_policy,801790,+,0,0.5016047451998248,True,False,False
2021-07-09,monetary_policy,801180,-,0,0.4275136118749431,True,False,False
2021-07-26,industry_policy,801760,-,0,0.43695470280965937,True,False,False
2021-09-02,capital_market_policy,801790,+,0,0.4576452031084963,True,False,False
2021-09-02,capital_market_policy,801780,+,-,0.42810578859479786,False,False,False
2021-09-02,capital_market_policy,801750,+,0,0.48215553670039274,True,False,False
2021-10-08,industry_policy,801760,+,0,0.4675403545028077,True,False,False
2021-10-08,industry_policy,801750,+,0,0.49355142081925407,True,False,False
2021-11-26,industry_policy,801150,-,-,0.45295729083938047,False,True,True
2021-12-03,industry_policy,801150,-,-,0.44600740434687636,False,True,True
2021-12-06,monetary_policy,801780,-,0,0.44575381262633645,True,False,False
2021-12-06,monetary_policy,801790,+,0,0.5368132324485267,True,False,False
2021-12-06,monetary_policy,801180,-,0,0.44627781176061343,True,False,False
2021-12-20,monetary_policy,801780,-,0,0.45258771962160055,True,False,False
2021-12-20,monetary_policy,801790,-,0,0.5474177238311589,True,False,False
2022-01-17,monetary_policy,801780,+,0,0.5257072592584809,True,False,False
2022-01-17,monetary_policy,801790,+,0,0.6202494803092673,True,False,False
2022-01-17,monetary_policy,801180,+,0,0.5288298718416815,True,False,False
2022-01-20,monetary_policy,801780,+,0,0.49298520355894343,True,False,False
2022-01-20,monetary_policy,801790,+,0,0.6019750984494613,True,False,False
2022-01-20,monetary_policy,801180,-,0,0.4899695998643326,True,False,False
2022-01-20,monetary_policy,801710,-,0,0.5269665108866098,True,False,False
2022-01-24,monetary_policy,801780,+,0,0.5756847231052521,True,False,False
2022-01-24,monetary_policy,801790,-,+,0.6562516214839746,False,False,False
2022-01-24,monetary_policy,801180,+,0,0.5663434311441176,True,False,False
2022-04-15,monetary_policy,801780,+,0,0.5586513496161396,True,False,False
2022-04-15,monetary_policy,801790,+,+,0.6352642305348032,False,True,True
2022-04-15,monetary_policy,801180,-,0,0.5630203206351104,True,False,False
2022-04-25,monetary_policy,801780,-,0,0.6018257251497031,True,False,False
2022-04-25,monetary_policy,801790,-,+,0.6852807961984065,False,False,False
2022-04-25,monetary_policy,801180,-,0,0.5980897493754703,True,False,False
2022-05-20,monetary_policy,801180,-,+,0.5635795853756675,False,False,False
2022-05-20,monetary_policy,801710,-,+,0.6014855126418,False,False,False
2022-08-15,monetary_policy,801780,-,-,0.4455495136904472,False,True,True
2022-08-15,monetary_policy,801790,-,+,0.5641690499615863,False,False,False
2022-08-15,monetary_policy,801180,+,-,0.450023972363457,False,False,False
2022-08-22,monetary_policy,801780,+,-,0.46813875276671557,False,False,False
2022-08-22,monetary_policy,801790,+,+,0.5655925098590392,False,True,True
2022-08-22,monetary_policy,801180,-,-,0.45513334459456156,False,True,True
2022-08-22,monetary_policy,801710,-,0,0.5093849579250406,True,False,False
2022-09-05,monetary_policy,801780,+,-,0.4752957650866587,False,False,False
2022-09-05,monetary_policy,801790,+,+,0.5843799168794461,False,True,True
2022-09-05,monetary_policy,801180,+,-,0.48068457711011103,False,False,False
2022-10-07,geopolitical,801080,+,+,0.560234455386837,False,True,True
2022-10-07,geopolitical,801880,+,+,0.5957235689972263,False,True,True
2022-10-07,geopolitical,801110,-,+,0.596369166623035,False,False,False
2022-10-07,geopolitical,801890,+,+,0.5903420713984615,False,True,True
2022-10-07,geopolitical,801750,+,+,0.5671659015418704,False,True,True
2022-10-07,geopolitical,801770,+,+,0.5475604806628288,False,True,True
2022-10-07,geopolitical,801030,+,+,0.6070426670812058,False,True,True
2022-11-25,monetary_policy,801780,+,-,0.36866936451903015,False,False,False
2022-11-25,monetary_policy,801790,+,-,0.489603609341093,False,False,False
2022-11-25,monetary_policy,801180,+,-,0.3658730469047232,False,False,False
2022-11-25,monetary_policy,801710,+,-,0.4080015653569696,False,False,False
2022-11-28,industry_policy,801180,-,-,0.40537981169654996,False,True,True
2022-11-28,industry_policy,801780,-,-,0.3217101665425832,False,True,True
2022-11-28,industry_policy,801710,+,-,0.3670693223833659,False,False,False
2023-02-01,capital_market_policy,801790,-,0,0.47232613658800504,True,False,False
2023-02-01,capital_market_policy,801780,-,-,0.36895784562326717,False,True,True
2023-02-01,capital_market_policy,801750,+,0,0.505878679183989,True,False,False
2023-02-17,capital_market_policy,801790,+,-,0.3548938617725103,False,False,False
2023-02-17,capital_market_policy,801780,+,-,0.26426471999402434,False,False,False
2023-02-17,capital_market_policy,801750,-,-,0.35143513015632566,False,True,True
2023-03-17,monetary_policy,801780,-,-,0.3903387373950331,False,True,True
2023-03-17,monetary_policy,801790,+,0,0.5136916064653625,True,False,False
2023-03-17,monetary_policy,801180,-,-,0.3786840134500484,False,True,True
2023-05-21,geopolitical,801080,+,0,0.5224036753186376,True,False,False
2023-05-21,geopolitical,801750,+,0,0.5081452316863594,True,False,False
2023-05-21,geopolitical,801770,+,0,0.5165763884993878,True,False,False
2023-06-13,monetary_policy,801780,-,0,0.4759477126391662,True,False,False
2023-06-13,monetary_policy,801790,-,+,0.596348645606192,False,False,False
2023-06-13,monetary_policy,801180,-,0,0.45943970381004595,True,False,False
2023-06-15,monetary_policy,801780,-,0,0.5021794595740668,True,False,False
2023-06-15,monetary_policy,801790,-,+,0.5973201507626605,False,False,False
2023-06-15,monetary_policy,801180,-,0,0.4629512655146746,True,False,False
2023-06-20,monetary_policy,801780,+,0,0.4814446613350836,True,False,False
2023-06-20,monetary_policy,801790,-,+,0.6131050093058763,False,False,False
2023-06-20,monetary_policy,801180,-,-,0.4437344356869558,False,True,True
2023-06-20,monetary_policy,801710,-,0,0.48867215269713127,True,False,False
2023-06-21,industry_policy,801730,+,0,0.5192548853506193,True,False,False
2023-06-21,industry_policy,801160,+,0,0.4569548672112163,True,False,False
2023-06-21,industry_policy,801880,+,0,0.47375578480712693,True,False,False
2023-06-21,industry_policy,801050,+,0,0.5190151392477231,True,False,False
2023-07-03,geopolitical,801080,+,0,0.5145181362489151,True,False,False
2023-07-03,geopolitical,801880,+,0,0.5474006933903114,True,False,False
2023-07-03,geopolitical,801110,-,0,0.5517731026009797,True,False,False
2023-07-03,geopolitical,801890,-,0,0.5416611314615232,True,False,False
2023-07-03,geopolitical,801050,+,0,0.4983474058869922,True,False,False
2023-07-03,geopolitical,801030,+,0,0.5676634057219875,True,False,False
2023-07-21,industry_policy,801180,+,0,0.5575781041655905,True,False,False
2023-07-21,industry_policy,801710,+,+,0.5635223425756962,False,True,True
2023-07-21,industry_policy,801780,+,0,0.5014188068034694,True,False,False
2023-07-24,capital_market_policy,801790,+,0,0.5663646904208794,True,False,False
2023-07-24,capital_market_policy,801780,+,0,0.47543608320414615,True,False,False
2023-07-24,capital_market_policy,801750,-,+,0.5939053624431809,False,False,False
2023-07-24,capital_market_policy,801760,-,0,0.5387472064620618,True,False,False
2023-08-09,geopolitical,801080,-,-,0.41330575571665334,False,True,True
2023-08-09,geopolitical,801750,-,-,0.3950614819418565,False,True,True
2023-08-09,geopolitical,801770,-,-,0.39995404744736784,False,True,True
2023-08-15,monetary_policy,801780,+,-,0.40748627804208476,False,False,False
2023-08-15,monetary_policy,801790,+,0,0.5216458373331129,True,False,False
2023-08-15,monetary_policy,801180,+,-,0.4085320675601732,False,False,False
2023-08-15,monetary_policy,801710,+,-,0.43517191759637147,False,False,False
2023-08-21,monetary_policy,801780,+,-,0.43470061227797585,False,False,False
2023-08-21,monetary_policy,801790,+,0,0.5096440740433121,True,False,False
2023-08-25,industry_policy,801180,+,0,0.470133231314308,True,False,False
2023-08-25,industry_policy,801710,+,0,0.4637122625674002,True,False,False
2023-08-25,industry_policy,801780,-,-,0.41763244374241576,False,True,True
2023-08-27,capital_market_policy,801790,-,0,0.5135207358900461,True,False,False
2023-08-27,capital_market_policy,801780,-,-,0.4049101969115675,False,True,True
2023-09-01,capital_market_policy,801790,+,0,0.5166255199210272,True,False,False
2023-09-01,capital_market_policy,801780,+,-,0.4356377597345621,False,False,False
2023-09-01,capital_market_policy,801750,-,0,0.5286595391650364,True,False,False
2023-09-15,monetary_policy,801780,+,-,0.3689108520790634,False,False,False
2023-09-15,monetary_policy,801790,+,0,0.48161540581713397,True,False,False
2023-09-15,monetary_policy,801180,-,-,0.343809294599641,False,True,True
2023-10-07,geopolitical,801030,-,0,0.4348183046716084,True,False,False
2023-10-07,geopolitical,801040,+,-,0.3925074197435439,False,False,False
2023-10-17,geopolitical,801080,-,-,0.36204975702536146,False,True,True
2023-10-17,geopolitical,801880,-,-,0.4039761775843232,False,True,True
2023-10-17,geopolitical,801110,+,-,0.38399950605541283,False,False,False
2023-10-17,geopolitical,801890,-,-,0.388816178340316,False,True,True
2023-10-17,geopolitical,801750,-,-,0.34646886316261055,False,True,True
2023-10-17,geopolitical,801770,-,-,0.3527643874567136,False,True,True
2023-10-17,geopolitical,801030,+,-,0.41070734649438245,False,False,False
2023-10-20,geopolitical,801080,-,-,0.4027682120088195,False,True,True
2023-10-20,geopolitical,801880,+,0,0.44033894558324915,True,False,False
2023-10-20,geopolitical,801110,-,0,0.45306051591640767,True,False,False
2023-10-20,geopolitical,801890,+,-,0.42610488445034395,False,False,False
2023-10-20,geopolitical,801050,+,-,0.41205872652405134,False,False,False
2023-10-20,geopolitical,801030,+,0,0.44704524036072796,True,False,False
2023-10-31,industry_policy,801780,-,-,0.4054298951308652,False,True,True
2023-10-31,industry_policy,801790,+,-,0.3538254674497514,False,False,False
2023-10-31,industry_policy,801180,+,-,0.4420275943351843,False,False,False
2024-01-24,monetary_policy,801780,+,+,0.5508336368341589,False,True,True
2024-01-24,monetary_policy,801790,+,+,0.6383948550887725,False,True,True
2024-01-24,monetary_policy,801180,+,+,0.5502212447914374,False,True,True
2024-01-24,monetary_policy,801710,+,+,0.5627889566190286,False,True,True
2024-02-05,market_event,801790,-,+,0.6038298193989948,False,False,False
2024-02-05,market_event,801780,-,+,0.5744984460048801,False,False,False
