event_date,industry_code,event_type,real_dir,final_dir,prob_up,confidence,abstain,weight_a,threshold,dir_correct,committed_dir_correct
2020-12-18,801770,geopolitical,-,-,0.4426451845549124,0.11470963089017516,True,0.8,0.2,True,False
2020-12-31,801780,capital_market_policy,-,-,0.434720550915357,0.130558898169286,True,0.8,0.2,True,False
2020-12-31,801790,capital_market_policy,-,-,0.47445939198510834,0.05108121602978333,True,0.8,0.2,True,False
2020-12-31,801750,capital_market_policy,-,-,0.48477053983482066,0.030458920330358685,True,0.8,0.2,True,False
2021-02-07,801750,industry_policy,+,-,0.466029876402972,0.067940247194056,True,0.8,0.2,False,False
2021-02-07,801760,industry_policy,+,-,0.4575841637679666,0.08483167246406675,True,0.8,0.2,False,False
2021-04-10,801760,industry_policy,+,-,0.4978360657312956,0.004327868537408852,True,0.8,0.2,False,False
2021-04-10,801750,industry_policy,+,+,0.5684777630018674,0.13695552600373473,True,0.8,0.2,True,False
2021-06-23,801150,industry_policy,-,-,0.46152508021701605,0.0769498395659679,True,0.8,0.2,True,False
2021-07-09,801780,monetary_policy,-,-,0.4131208618800307,0.17375827623993856,True,0.8,0.2,True,False
2021-07-09,801790,monetary_policy,+,-,0.404906748771538,0.19018650245692403,True,0.8,0.2,False,False
2021-07-09,801180,monetary_policy,-,-,0.33573682398002896,0.32852635203994207,False,0.8,0.2,True,True
2021-07-26,801760,industry_policy,-,-,0.3552297041290992,0.2895405917418016,False,0.8,0.2,True,True
2021-09-02,801750,capital_market_policy,+,-,0.41690726091604,0.16618547816791995,True,0.8,0.2,False,False
2021-09-02,801790,capital_market_policy,+,+,0.520140045870696,0.04028009174139191,True,0.8,0.2,True,False
2021-09-02,801780,capital_market_policy,+,-,0.4815469551632135,0.036906089673573006,True,0.8,0.2,False,False
2021-10-08,801760,industry_policy,+,+,0.5261878865965761,0.05237577319315223,True,0.8,0.2,True,False
2021-10-08,801750,industry_policy,+,+,0.5305897762348926,0.061179552469785126,True,0.8,0.2,True,False
2021-11-26,801150,industry_policy,-,-,0.4958026490440453,0.008394701911909386,True,0.8,0.2,True,False
2021-12-03,801150,industry_policy,-,-,0.45177555825334964,0.09644888349330072,True,0.8,0.2,True,False
2021-12-06,801790,monetary_policy,+,-,0.436971155974242,0.12605768805151596,True,0.8,0.2,False,False
2021-12-06,801780,monetary_policy,-,-,0.3031335506984226,0.39373289860315475,False,0.8,0.2,True,True
2021-12-06,801180,monetary_policy,-,-,0.3283784944477148,0.34324301110457045,False,0.8,0.2,True,True
2021-12-20,801790,monetary_policy,-,+,0.5139054982036138,0.027810996407227506,True,0.8,0.2,False,False
2021-12-20,801780,monetary_policy,-,-,0.36237497801506685,0.2752500439698663,False,0.8,0.2,True,True
2022-01-17,801790,monetary_policy,+,-,0.4906617844889555,0.018676431022089046,True,0.8,0.2,False,False
2022-01-17,801180,monetary_policy,+,-,0.4720237007788618,0.0559525984422764,True,0.8,0.2,False,False
2022-01-17,801780,monetary_policy,+,-,0.40786000665185423,0.18427998669629153,True,0.8,0.2,False,False
2022-01-20,801780,monetary_policy,+,-,0.4782585926321047,0.04348281473579063,True,0.8,0.2,False,False
2022-01-20,801790,monetary_policy,+,-,0.49800782364328966,0.00398435271342068,True,0.8,0.2,False,False
2022-01-20,801180,monetary_policy,-,-,0.49474649620978217,0.010507007580435657,True,0.8,0.2,True,False
2022-01-20,801710,monetary_policy,-,+,0.6424734473717038,0.2849468947434075,False,0.8,0.2,False,False
2022-01-24,801780,monetary_policy,+,+,0.5185553634882173,0.03711072697643458,True,0.8,0.2,True,False
2022-01-24,801790,monetary_policy,-,+,0.5721380244466053,0.14427604889321066,True,0.8,0.2,False,False
2022-01-24,801180,monetary_policy,+,+,0.5543279413467426,0.10865588269348514,True,0.8,0.2,True,False
2022-04-15,801180,monetary_policy,-,+,0.6698983403548794,0.33979668070975877,False,0.8,0.2,False,False
2022-04-15,801780,monetary_policy,+,+,0.5119788692474398,0.0239577384948797,True,0.8,0.2,True,False
2022-04-15,801790,monetary_policy,+,+,0.5730958774982307,0.1461917549964613,True,0.8,0.2,True,False
2022-04-25,801780,monetary_policy,-,+,0.5263864864235965,0.05277297284719307,True,0.8,0.2,False,False
2022-04-25,801790,monetary_policy,-,+,0.5784667028314774,0.15693340566295477,True,0.8,0.2,False,False
2022-04-25,801180,monetary_policy,-,+,0.6282267467635833,0.2564534935271665,False,0.8,0.2,False,False
2022-05-20,801710,monetary_policy,-,+,0.543579091586514,0.08715818317302793,True,0.8,0.2,False,False
2022-05-20,801180,monetary_policy,-,+,0.6145821063042469,0.22916421260849384,False,0.8,0.2,False,False
2022-08-15,801790,monetary_policy,-,+,0.5052703931344901,0.01054078626898014,True,0.8,0.2,False,False
2022-08-15,801180,monetary_policy,+,-,0.4648486010559327,0.07030279788813465,True,0.8,0.2,False,False
2022-08-15,801780,monetary_policy,-,-,0.36934242339873585,0.2613151532025283,False,0.8,0.2,True,True
2022-08-22,801780,monetary_policy,+,-,0.40527892252927955,0.1894421549414409,True,0.8,0.2,False,False
2022-08-22,801790,monetary_policy,+,+,0.5235506792962584,0.04710135859251685,True,0.8,0.2,True,False
2022-08-22,801180,monetary_policy,-,-,0.4779595202611311,0.044080959477737824,True,0.8,0.2,True,False
2022-08-22,801710,monetary_policy,-,-,0.44408862041831215,0.1118227591633757,True,0.8,0.2,True,False
2022-09-05,801780,monetary_policy,+,-,0.4763048464144648,0.0473903071710704,True,0.8,0.2,False,False
2022-09-05,801790,monetary_policy,+,+,0.6235495255232062,0.2470990510464124,False,0.8,0.2,True,True
2022-09-05,801180,monetary_policy,+,+,0.5126418234578863,0.025283646915772673,True,0.8,0.2,True,False
2022-10-07,801880,geopolitical,+,+,0.5512595294369037,0.10251905887380741,True,0.8,0.2,True,False
2022-10-07,801080,geopolitical,+,+,0.5089965798053189,0.017993159610637743,True,0.8,0.2,True,False
2022-10-07,801110,geopolitical,-,+,0.5604275490398348,0.12085509807966965,True,0.8,0.2,False,False
2022-10-07,801890,geopolitical,+,+,0.5467426515073668,0.09348530301473357,True,0.8,0.2,True,False
2022-10-07,801750,geopolitical,+,+,0.5006709873474897,0.001341974694979431,True,0.8,0.2,True,False
2022-10-07,801770,geopolitical,+,-,0.4920352894059472,0.015929421188105586,True,0.8,0.2,False,False
2022-10-07,801030,geopolitical,+,+,0.5717302685617858,0.14346053712357154,True,0.8,0.2,True,False
2022-11-25,801180,monetary_policy,+,-,0.424026282960359,0.15194743407928202,True,0.8,0.2,False,False
2022-11-25,801710,monetary_policy,+,-,0.4595639460697387,0.08087210786052257,True,0.8,0.2,False,False
2022-11-25,801780,monetary_policy,+,-,0.40156238351882434,0.19687523296235132,True,0.8,0.2,False,False
2022-11-25,801790,monetary_policy,+,+,0.5385168901468093,0.07703378029361851,True,0.8,0.2,True,False
2022-11-28,801710,industry_policy,+,-,0.47058541604715237,0.05882916790569526,True,0.8,0.2,False,False
2022-11-28,801180,industry_policy,-,-,0.48374383581254676,0.032512328374906474,True,0.8,0.2,True,False
2022-11-28,801780,industry_policy,-,-,0.39185801056419095,0.2162839788716181,False,0.8,0.2,True,True
2023-02-01,801790,capital_market_policy,-,+,0.5735893848192768,0.14717876963855359,True,0.8,0.2,False,False
2023-02-01,801780,capital_market_policy,-,-,0.4774441353032127,0.04511172939357455,True,0.8,0.2,True,False
2023-02-01,801750,capital_market_policy,+,+,0.5867491501068068,0.17349830021361368,True,0.8,0.2,True,False
2023-02-17,801790,capital_market_policy,+,-,0.3461406661684567,0.30771866766308664,False,0.8,0.2,False,False
2023-02-17,801780,capital_market_policy,+,-,0.228602835476248,0.542794329047504,False,0.8,0.2,False,False
2023-02-17,801750,capital_market_policy,-,-,0.43496784075173556,0.13006431849652889,True,0.8,0.2,True,False
2023-03-17,801180,monetary_policy,-,-,0.3007968406797582,0.3984063186404836,False,0.8,0.2,True,True
2023-03-17,801790,monetary_policy,+,-,0.4179156188100142,0.16416876237997158,True,0.8,0.2,False,False
2023-03-17,801780,monetary_policy,-,-,0.36048293519016616,0.27903412961966767,False,0.8,0.2,True,True
2023-05-21,801080,geopolitical,+,-,0.48649629689388474,0.027007406212230523,True,0.8,0.2,False,False
2023-05-21,801750,geopolitical,+,-,0.45022631363211496,0.09954737273577008,True,0.8,0.2,False,False
2023-05-21,801770,geopolitical,+,-,0.4980513677237789,0.0038972645524422145,True,0.8,0.2,False,False
2023-06-13,801780,monetary_policy,-,-,0.4221555662331633,0.1556888675336734,True,0.8,0.2,True,False
2023-06-13,801790,monetary_policy,-,+,0.5141623734909991,0.028324746981998272,True,0.8,0.2,False,False
2023-06-13,801180,monetary_policy,-,-,0.3813268779145887,0.23734624417082262,False,0.8,0.2,True,True
2023-06-15,801180,monetary_policy,-,-,0.3892667981738902,0.2214664036522196,False,0.8,0.2,True,True
