event_date,event_type,industry_code,real_dir,final_dir,dir_correct,pred_mean_5,real_CAR
2022-01-20,monetary_policy,801180,-,-,True,-0.006910858498649713,-0.020592
2022-01-20,monetary_policy,801710,-,+,False,0.0005836493058982747,-0.040695
2022-01-24,monetary_policy,801780,+,+,True,0.006230933610861451,0.024658
2022-01-24,monetary_policy,801790,-,-,True,-0.0051543584969435795,-0.001646
2022-01-24,monetary_policy,801180,+,-,False,-0.008363578907046948,0.004332
2022-04-15,monetary_policy,801780,+,-,False,-0.03340014721704517,0.025073
2022-04-15,monetary_policy,801790,+,-,False,-0.013624138027553596,0.004824
2022-04-15,monetary_policy,801180,-,-,True,-0.006105960980257621,-0.011641
2022-04-25,monetary_policy,801780,-,+,False,0.02664471515140367,-0.032975
2022-04-25,monetary_policy,801790,-,+,False,0.01037915535345548,-0.045323
2022-04-25,monetary_policy,801180,-,+,False,0.005382027801973799,-0.038942
2022-05-20,monetary_policy,801180,-,-,True,-0.01735394387777995,-0.046473
2022-05-20,monetary_policy,801710,-,-,True,-0.016483666288545713,-0.003947
2022-08-15,monetary_policy,801780,-,-,True,-0.02195969108541384,-0.008638
2022-08-15,monetary_policy,801790,-,-,True,-0.009539419755801748,-0.006747
2022-08-15,monetary_policy,801180,+,+,True,0.0013724495607615316,0.039362
2022-08-22,monetary_policy,801780,+,-,False,-0.0020325599431075926,0.005133
2022-08-22,monetary_policy,801790,+,-,False,-0.010045476238090403,0.017386
2022-08-22,monetary_policy,801180,-,-,True,-0.00026694352807046654,-0.013031
2022-08-22,monetary_policy,801710,-,+,False,0.0008623456630529019,-0.02968
2022-09-05,monetary_policy,801780,+,-,False,-0.009435841129502565,0.003115
2022-09-05,monetary_policy,801790,+,-,False,-0.009634283392846037,0.005172
2022-09-05,monetary_policy,801180,+,+,True,0.002653497599537899,0.031812
2022-10-07,geopolitical,801080,+,-,False,-0.01580543034299293,0.032727
2022-10-07,geopolitical,801880,+,-,False,-0.01730460359971716,0.02913
2022-10-07,geopolitical,801110,-,-,True,-0.015712395182564932,-0.019249
2022-10-07,geopolitical,801890,+,-,False,-0.009036223572429789,0.074072
2022-10-07,geopolitical,801750,+,-,False,-0.00493732312074422,0.080184
2022-10-07,geopolitical,801770,+,-,False,-0.009321034726052238,0.051686
2022-10-07,geopolitical,801030,+,-,False,-0.024812328871991574,0.031977
2022-11-25,monetary_policy,801780,+,+,True,0.0027157370468129565,0.003452
2022-11-25,monetary_policy,801790,+,-,False,-0.03347954579322301,0.012493
2022-11-25,monetary_policy,801180,+,-,False,-0.017924392712918173,0.052558
2022-11-25,monetary_policy,801710,+,+,True,0.006403595570181914,0.003928
