event_date,event_type,event_name,industry_code,direction,magnitude,window,t0,cum_ind_ret,cum_mkt_ret,CAR
2021-12-06,monetary_policy,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,801790,+,高,5,2021-12-06,0.042257,0.037295,0.004962
2021-12-06,monetary_policy,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,801180,+,高,5,2021-12-06,0.01479,0.037295,-0.022505
2021-12-06,monetary_policy,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,801780,+,高,20,2021-12-06,-0.013404,0.003417,-0.016821
2021-12-06,monetary_policy,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,801790,+,高,20,2021-12-06,0.031179,0.003417,0.027762
2021-12-06,monetary_policy,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,801180,+,高,20,2021-12-06,0.050598,0.003417,0.047181
2021-12-20,monetary_policy,LPR下调：1年期降至3.80%(-5bp)，5年期维持4.65%不变,801780,+,中,1,2021-12-20,0.002801,-0.00833,0.011131
2021-12-20,monetary_policy,LPR下调：1年期降至3.80%(-5bp)，5年期维持4.65%不变,801790,+,中,1,2021-12-20,0.000191,-0.00833,0.008522
2021-12-20,monetary_policy,LPR下调：1年期降至3.80%(-5bp)，5年期维持4.65%不变,801780,+,中,5,2021-12-20,-0.013515,-0.007152,-0.006363
2021-12-20,monetary_policy,LPR下调：1年期降至3.80%(-5bp)，5年期维持4.65%不变,801790,+,中,5,2021-12-20,-0.015035,-0.007152,-0.007883
2021-12-20,monetary_policy,LPR下调：1年期降至3.80%(-5bp)，5年期维持4.65%不变,801780,+,中,20,2021-12-20,0.020065,-0.028541,0.048605
2021-12-20,monetary_policy,LPR下调：1年期降至3.80%(-5bp)，5年期维持4.65%不变,801790,+,中,20,2021-12-20,-0.035846,-0.028541,-0.007306
2022-01-20,monetary_policy,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(-5bp),801780,+,高,1,2022-01-20,0.016831,-0.000223,0.017054
2022-01-20,monetary_policy,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(-5bp),801790,+,高,1,2022-01-20,0.013154,-0.000223,0.013376
2022-01-20,monetary_policy,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(-5bp),801180,+,高,1,2022-01-20,-0.012423,-0.000223,-0.012201
2022-01-20,monetary_policy,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(-5bp),801710,+,高,1,2022-01-20,-0.024139,-0.000223,-0.023917
2022-01-20,monetary_policy,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(-5bp),801780,+,高,5,2022-01-20,-0.004189,-0.033575,0.029385
2022-01-20,monetary_policy,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(-5bp),801790,+,高,5,2022-01-20,-0.03041,-0.033575,0.003165
2022-01-20,monetary_policy,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(-5bp),801180,+,高,5,2022-01-20,-0.054167,-0.033575,-0.020592
2022-01-20,monetary_policy,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(-5bp),801710,+,高,5,2022-01-20,-0.07427,-0.033575,-0.040695
2022-01-20,monetary_policy,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(-5bp),801780,+,高,20,2022-01-20,-0.004453,-0.052519,0.048066
2022-01-20,monetary_policy,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(-5bp),801790,+,高,20,2022-01-20,-0.066626,-0.052519,-0.014107
2022-01-20,monetary_policy,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(-5bp),801180,+,高,20,2022-01-20,-0.051287,-0.052519,0.001231
2022-01-20,monetary_policy,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(-5bp),801710,+,高,20,2022-01-20,-0.080937,-0.052519,-0.028418
2022-04-15,monetary_policy,央行降准0.25个百分点：释放长期资金约5300亿元,801780,+,中,1,2022-04-15,-0.016303,-0.006008,-0.010295
2022-04-15,monetary_policy,央行降准0.25个百分点：释放长期资金约5300亿元,801790,+,中,1,2022-04-15,-0.01621,-0.006008,-0.010201
2022-04-15,monetary_policy,央行降准0.25个百分点：释放长期资金约5300亿元,801180,+,中,1,2022-04-15,0.006727,-0.006008,0.012735
2022-04-15,monetary_policy,央行降准0.25个百分点：释放长期资金约5300亿元,801780,+,中,5,2022-04-15,-0.017469,-0.042542,0.025073
2022-04-15,monetary_policy,央行降准0.25个百分点：释放长期资金约5300亿元,801790,+,中,5,2022-04-15,-0.037718,-0.042542,0.004824
2022-04-15,monetary_policy,央行降准0.25个百分点：释放长期资金约5300亿元,801180,+,中,5,2022-04-15,-0.054184,-0.042542,-0.011641
2022-04-15,monetary_policy,央行降准0.25个百分点：释放长期资金约5300亿元,801780,+,中,20,2022-04-15,-0.072066,-0.017842,-0.054223
2022-04-15,monetary_policy,央行降准0.25个百分点：释放长期资金约5300亿元,801790,+,中,20,2022-04-15,-0.074056,-0.017842,-0.056213
2022-04-15,monetary_policy,央行降准0.25个百分点：释放长期资金约5300亿元,801180,+,中,20,2022-04-15,-0.074358,-0.017842,-0.056516
2022-05-20,monetary_policy,LPR非对称下调：1年期维持3.70%，5年期大降至4.45%(-15bp),801180,+,高,1,2022-05-20,-0.033792,0.013597,-0.047389
2022-05-20,monetary_policy,LPR非对称下调：1年期维持3.70%，5年期大降至4.45%(-15bp),801710,+,高,1,2022-05-20,0.017781,0.013597,0.004184
2022-05-20,monetary_policy,LPR非对称下调：1年期维持3.70%，5年期大降至4.45%(-15bp),801180,+,高,5,2022-05-20,-0.046048,0.000425,-0.046473
2022-05-20,monetary_policy,LPR非对称下调：1年期维持3.70%，5年期大降至4.45%(-15bp),801710,+,高,5,2022-05-20,-0.003521,0.000425,-0.003947
2022-05-20,monetary_policy,LPR非对称下调：1年期维持3.70%，5年期大降至4.45%(-15bp),801180,+,高,20,2022-05-20,-0.049536,0.082717,-0.132253
2022-05-20,monetary_policy,LPR非对称下调：1年期维持3.70%，5年期大降至4.45%(-15bp),801710,+,高,20,2022-05-20,0.051546,0.082717,-0.031171
2022-08-22,monetary_policy,LPR双降：1年期降至3.65%(-5bp)，5年期降至4.30%(-15bp),801780,+,高,1,2022-08-22,-0.010668,0.002411,-0.013079
2022-08-22,monetary_policy,LPR双降：1年期降至3.65%(-5bp)，5年期降至4.30%(-15bp),801790,+,高,1,2022-08-22,-0.001171,0.002411,-0.003582
2022-08-22,monetary_policy,LPR双降：1年期降至3.65%(-5bp)，5年期降至4.30%(-15bp),801180,+,高,1,2022-08-22,-0.005106,0.002411,-0.007517
2022-08-22,monetary_policy,LPR双降：1年期降至3.65%(-5bp)，5年期降至4.30%(-15bp),801710,+,高,1,2022-08-22,-0.02462,0.002411,-0.027031
2022-08-22,monetary_policy,LPR双降：1年期降至3.65%(-5bp)，5年期降至4.30%(-15bp),801780,+,高,5,2022-08-22,-0.009695,-0.014828,0.005133
