event_date,event_name,industry_code,dispersion,realized_car_T1,realized_mdd_T1,realized_downside_T1,realized_t0_T1,pred_var_T1,pred_mdd_T1,pred_tail_T1,realized_car_T5,realized_mdd_T5,realized_downside_T5,realized_t0_T5,pred_var_T5,pred_mdd_T5,pred_tail_T5,realized_car_T20,realized_mdd_T20,realized_downside_T20,realized_t0_T20,pred_var_T20,pred_mdd_T20,pred_tail_T20,risk_lo_T1,risk_hi_T1,risk_lo_T5,risk_hi_T5,risk_lo_T20,risk_hi_T20
2020-02-20,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(,801180,0.0,-0.022130979369721193,0.022130979369721193,0.022130979369721193,2020-02-20,-0.0806,0.05256,0.5,-0.008461828056105514,0.03065026253471448,0.008461828056105514,2020-02-20,-0.28548,0.22022,0.5,0.014574341469017371,0.03185844867195174,0.0,2020-02-20,-0.88476,0.75224,0.5,-0.08633,-0.02014,-0.29612,-0.14546,-0.90093,-0.60225
2020-03-13,央行宣布定向降准：对达到普惠金融考核标准的银行下调存款准备金率0.5-,801780,0.0,0.018339213222795303,0.0,0.0,2020-03-13,-0.02196,0.00584,0.05,0.007431095445272096,0.018989075151966794,0.0,2020-03-13,-0.02442,0.01363,0.05,-0.008989355394086407,0.036783139357031244,0.008989355394086407,2020-03-13,-0.10279,0.07125,0.05,-0.02601,0.02072,-0.03175,0.07343,-0.118,0.08915
2020-03-13,央行宣布定向降准：对达到普惠金融考核标准的银行下调存款准备金率0.5-,801790,0.0,-0.005217048039054539,0.005731998917004858,0.005217048039054539,2020-03-13,-0.04729,0.01398,0.05,-0.009269186124774564,0.010368079439479302,0.009269186124774564,2020-03-13,-0.06441,0.03146,0.05,-0.04345642970669472,0.04504423021667116,0.04345642970669472,2020-03-13,-0.21827,0.12872,0.05,-0.05523,0.0364,-0.07769,0.11725,-0.24417,0.13806
2020-03-13,央行宣布定向降准：对达到普惠金融考核标准的银行下调存款准备金率0.5-,801180,0.0,0.01713367792793119,0.0,0.0,2020-03-13,-0.09038,0.05156,0.5,-0.009699658784834253,0.03185844867195166,0.009699658784834253,2020-03-13,-0.2994,0.2111,0.4515,-0.02031082024430697,0.040918911298826154,0.02031082024430697,2020-03-13,-0.8867,0.71206,0.05,-0.09833,-0.00645,-0.31368,-0.10796,-0.91493,-0.50923
2020-03-30,央行开展500亿元7天逆回购操作，中标利率下调20个基点至2.2%,801780,0.0,-0.008369163802945834,0.013883627748727033,0.008369163802945834,2020-03-30,-0.03434,0.01324,0.106,-0.02704081351825982,0.03245144432835695,0.02704081351825982,2020-03-30,-0.09502,0.04546,0.05,-0.03624216322199081,0.053517198712131536,0.03624216322199081,2020-03-30,-0.25139,0.16125,0.05,-0.03894,0.01412,-0.10446,0.04237,-0.27179,-0.01472
2020-03-30,央行开展500亿元7天逆回购操作，中标利率下调20个基点至2.2%,801790,0.0,-0.006180150367209758,0.006180150367209758,0.006180150367209758,2020-03-30,-0.03893,0.01115,0.05,-0.017818607906886053,0.017818607906886053,0.017818607906886053,2020-03-30,-0.08156,0.03875,0.05,-0.0325329771222006,0.03674619832503656,0.0325329771222006,2020-03-30,-0.25354,0.15113,0.05,-0.04564,0.03187,-0.09428,0.08228,-0.27751,0.0621
2020-03-30,央行开展500亿元7天逆回购操作，中标利率下调20个基点至2.2%,801180,0.0,-0.015604077390136695,0.015604077390136695,0.015604077390136695,2020-03-30,-0.04333,0.01376,0.05,-0.01581534819601249,0.01581534819601249,0.01581534819601249,2020-03-30,-0.09019,0.04192,0.05,-0.03900574911170862,0.03900574911170862,0.03900574911170862,2020-03-30,-0.15714,0.09204,0.05,-0.05017,0.02886,-0.10267,0.07595,-0.18309,0.181
2020-04-03,央行宣布对中小银行定向降准1个百分点（分4月15日、5月15日两次实施,801780,0.0,-0.011674891544911525,0.011674891544911525,0.011674891544911525,2020-04-03,-0.10304,0.07651,0.5,-0.013740487165386894,0.016099602774041655,0.013740487165386894,2020-04-03,-0.39349,0.33331,0.5,-0.03001828250692995,0.03319299920368446,0.03001828250692995,2020-04-03,-1.15783,0.99117,0.5,-0.10846,-0.04583,-0.40333,-0.2653,-1.17527,-0.92142
2020-04-03,央行宣布对中小银行定向降准1个百分点（分4月15日、5月15日两次实施,801790,0.0,-0.010185539055971526,0.010185539055971526,0.010185539055971526,2020-04-03,-0.04472,0.01199,0.05,-0.011216201675762871,0.011761389854762827,0.011216201675762871,2020-04-03,-0.05593,0.02739,0.05,-0.028644223574731065,0.029260226132648226,0.028644223574731065,2020-04-03,-0.19063,0.11559,0.05,-0.05289,0.04151,-0.07227,0.11593,-0.21569,0.11099
2020-04-03,央行宣布对中小银行定向降准1个百分点（分4月15日、5月15日两次实施,801180,0.0,-0.0034284906216632827,0.008165712198757523,0.0034284906216632827,2020-04-03,-0.0597,0.02742,0.143,-0.004612209733042438,0.013566051249675552,0.004612209733042438,2020-04-03,-0.14384,0.07891,0.05,-0.03563549622771811,0.04021962119262265,0.03563549622771811,2020-04-03,-0.37621,0.24181,0.05,-0.06646,0.01165,-0.15622,0.01214,-0.40134,-0.05157
